text,author,likes,replyCount,cleaned_text
Those 2 cops stole the show for me,@jackrodakthemovieguy1726,0,0,those  cops stole the show for me
"Comprehend this: Seth Rogen and Evan Goldberg wrote the movie when they were freaking 13 years old. Sure, it took a while to be the  movie it was, but if this doesn't inspire you to follow  year dreams, I do no know what will. Boom!",@nw3685,126,7,comprehend this seth rogen and evan goldberg wrote the movie when they were freaking  years old sure it took a while to be the  movie it was but if this doesnt inspire you to follow  year dreams i do no know what will boom
"McLovin 2024!  ""He's badass...he's gangsta!!""",@NevadaBoss,1,0,mclovin   hes badasshes gangsta
Yes he blew it😂😂😂,@CluelessIndianGamer,1,0,yes he blew itface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joy
I've never seen this before even though I was 15 when it was released.,@Mark-0O,4,0,ive never seen this before even though i was  when it was released
"You are the prettiest girl...of this side of the misisipie 😅😂🤣👌 his actual words and he even pauses after he said you are the prettiest girl,, then says of this side of misisipieHe says you are the prettiest girl...of this side of misisipie word to word he says you are the prettiest girl....of misisipie he says of instead of on he should have said.You are the prettiest girl...on this side of misisipie But he says you are the prettiest girl...of this side of misisipie cuz he's drunk look how much times I made you read he says😅😂🤣👌🍷🍷",@iamhumanhuman2242,0,0,you are the prettiest girlof this side of the misisipie smiling_face_with_open_mouth_&_cold_sweatface_with_tears_of_joyrolling_on_the_floor_laughingOK_hand his actual words and he even pauses after he said you are the prettiest girl then says of this side of misisipiehe says you are the prettiest girlof this side of misisipie word to word he says you are the prettiest girlof misisipie he says of instead of on he should have saidyou are the prettiest girlon this side of misisipie but he says you are the prettiest girlof this side of misisipie cuz hes drunk look how much times i made you read he sayssmiling_face_with_open_mouth_&_cold_sweatface_with_tears_of_joyrolling_on_the_floor_laughingOK_handwine_glasswine_glass
I like vogoal hops out the police car smoking 🚬 they made it like the godfather scene also I like when Jonah calls vagoal faggoal when he's mad and why does no one mention that mclovin is no worst then his real name vogoal lol 😅😂🤣👌,@iamhumanhuman2242,0,0,i like vogoal hops out the police car smoking cigarette they made it like the godfather scene also i like when jonah calls vagoal faggoal when hes mad and why does no one mention that mclovin is no worst then his real name vogoal lol smiling_face_with_open_mouth_&_cold_sweatface_with_tears_of_joyrolling_on_the_floor_laughingOK_hand
very simillar to summertime saga game,@balanar15,0,0,very simillar to summertime saga game
I wish I could watch this movie for the first time again,@billhuynh863,902,12,i wish i could watch this movie for the first time again
That whistle cracked me up!,@dzezonja3558,7,0,that whistle cracked me up
I found this because of my birthday,@rickyli5682,1,0,i found this because of my birthday
Jonah hill is playing seth rogan as a teenager. Seth is literally seth. He cowrote the script.,@Bubu567,0,0,jonah hill is playing seth rogan as a teenager seth is literally seth he cowrote the script
- He looked like Eminem.- An M&M? So... circular?,@Chrisbajs,18,0, he looked like eminem an mm so circular
Bring me MY Scanners!!!,@CartwheelsInTheMoonlight,1,0,bring me my scanners
so we have an African Ju wearing a hoodie,@lustrals1273,0,0,so we have an african ju wearing a hoodie
This trailer is a superb ad.,@jaydee2847,1,0,this trailer is a superb ad
Non Americans watching seniors trying to get some alcohol:🤣🤣🤣🤣,@oridavid1931,9,2,non americans watching seniors trying to get some alcoholrolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughing
"Amazing film, incredibly bad trailer",@andrewiangillies,3,0,amazing film incredibly bad trailer
These guys is the best,@onyongvegeance9777,1,0,these guys is the best
"This movie is both overrated and underrated at the same time, but still a great film, it's a classic nonetheless.",@basedbattledroid3507,1,0,this movie is both overrated and underrated at the same time but still a great film its a classic nonetheless
One of the best movies,@Rule1111,1,0,one of the best movies
Any recent movies that can live up to the McKay-Apatow-Jonah-Seth-Franco mafia of the 2000s? Comedies these days are trash...,@TheAyushshah94,0,0,any recent movies that can live up to the mckayapatowjonahsethfranco mafia of the s comedies these days are trash
Superbound brought me here,@PukiLynx,1,0,superbound brought me here
This is a certified cult classic now,@alkopappa,3,0,this is a certified cult classic now
"The best high school movie,period.",@ltmmoviereviewsharrison3462,2,0,the best high school movieperiod
My friend was surprised that i havent seen this movie. when i finally saw it i fell in love with it haha.,@girishframvik6313,8,0,my friend was surprised that i havent seen this movie when i finally saw it i fell in love with it haha
Best teen movie ever.,@varunbansal1917,0,0,best teen movie ever
A classic among classics.,@SplinterAce,9,0,a classic among classics
"My junior highschool year is now ""classic"". RIP",@epicmetod,15,0,my junior highschool year is now classic rip
greatest comedy movie of all time,@Martsnielson2,0,0,greatest comedy movie of all time
Funniest movie ever. So cringily relatable.,@KaineHero,6,0,funniest movie ever so cringily relatable
all i can think about when I see this movie is that they filmed it at my school,@mikayla4222,6,0,all i can think about when i see this movie is that they filmed it at my school
I have a dvd of thisThe nostalgia :),@jplolol,12,0,i have a dvd of thisthe nostalgia 
Who else can listen to Mclovin all day 😂,@roberts2231,9,0,who else can listen to mclovin all day face_with_tears_of_joy
They don't make em like this anymore,@shimshamjunior,1,0,they dont make em like this anymore
This is the best friendship since Shawshank Redemption. And I mean that lol.,@TheStranger513,23,0,this is the best friendship since shawshank redemption and i mean that lol
Now that's a good trailer,@kalle3879,1,0,now thats a good trailer
"Even after all these years, it's still funnier and funnier every-time I watch it.",@PieYouTube314,40,1,even after all these years its still funnier and funnier everytime i watch it
The best movie ever,@charlesbeauregard7552,0,1,the best movie ever
It's a cult movie!,@markusz_,0,0,its a cult movie
Project X: Hold my Beer,@jayronmoya5859,0,0,project x hold my beer
"I remember watching this at the cinemas, I laughed through out the entire movie. Heck the whole theater was crying from laughing too much.",@thegreatone9022,236,1,i remember watching this at the cinemas i laughed through out the entire movie heck the whole theater was crying from laughing too much
