text,author,likes,replyCount,cleaned_text
"Real time stamp on Trumps AI video......Drum roll please.🥁 ..................33 seconds!Big surprise , right?For those of you that dont know, 33 is a revered by the Free Masons, who at the upper degrees, worship Lucifer Truth.  Research.  Stay aware.  Stau alerts ⚠️ 📢  Get ready!!!",@jaydefranco329,0,0,real time stamp on trumps ai videodrum roll pleasedrum  secondsbig surprise  rightfor those of you that dont know  is a revered by the free masons who at the upper degrees worship lucifer truth  research  stay aware  stau alerts warning loudspeaker  get ready
Biff Tannen's city paradise casino?,@LicocoS,0,1,biff tannens city paradise casino
This is insane! But the music is nice lol,@DicasdaNet,0,0,this is insane but the music is nice lol
"He makes me laugh so hard , that level of sarcasm 😂😂",@tintinquirit8732,1,0,he makes me laugh so hard  that level of sarcasm face_with_tears_of_joyface_with_tears_of_joy
Trump wants to make Gaza like UAE and QatarWhat's wrong with that?,@Theworldsucks-kg5jv,0,0,trump wants to make gaza like uae and qatarwhats wrong with that
It is hard to believe this was not meant as a (sick) joke. It must have been.,@susanl.6367,0,0,it is hard to believe this was not meant as a sick joke it must have been
Free free trump Gaza Free free trump Gaza,@JuJuMalemaHIVpositive,1,0,free free trump gaza free free trump gaza
Just want to point out that musk is in the video and not vance.Shows who the real vice president is.,@treizehk5547,0,0,just want to point out that musk is in the video and not vanceshows who the real vice president is
"Trump didn't release this nonsense, you guys are so gullible!",@Josephthedreamer777,1,2,trump didnt release this nonsense you guys are so gullible
"CALL IT ""TRUMP GAZA GRAVEYARD""",@LCG0946,1,0,call it trump gaza graveyard
Love that movie Idiocracy.   Hold up that movie is us.  Fu**.!!!  We have all been drinking the koolaid.   Time to wakeup.,@irishto4706,0,0,love that movie idiocracy   hold up that movie is us  fu  we have all been drinking the koolaid   time to wakeup
"Trump gazans be like:""Netanyahu Akbar!""",@Capybased,1,0,trump gazans be likenetanyahu akbar
If only he had that much ambition for his own country.,@josephmurphy1459,1,0,if only he had that much ambition for his own country
Im laughing hysterically for the first time in years,@user-user55344,3,0,im laughing hysterically for the first time in years
Not sure how this could be any more offensive and wrong,@arwynanne,3,0,not sure how this could be any more offensive and wrong
These people are sick.,@haviskam,3,0,these people are sick
0:43 it is here that he speaks truth for a literal millisecond.,@Shalondria,1,0, it is here that he speaks truth for a literal millisecond
Cross on Al Aqsa The astonishing plan,@RizwanAbbasi-t1q,0,0,cross on al aqsa the astonishing plan
Who is responsible for this commercial,@sherrysweeney2392,0,0,who is responsible for this commercial
Trump is like a cross between Saddam Hussein and a James Bond villain.,@TangBengYong,0,0,trump is like a cross between saddam hussein and a james bond villain
Nice idea of Trump💪,@UOlllOU,1,0,nice idea of trumpflexed_biceps
"But, who is the artist of song?",@AdrianWizardINFJ4w5,0,2,but who is the artist of song
Why are guardian editors meeting with Isreali Generals and promoting trumps disgusting tripe?,@yvonnemccalla7282,0,0,why are guardian editors meeting with isreali generals and promoting trumps disgusting tripe
Lol murica is a dystopia,@Klierowski,0,0,lol murica is a dystopia
Where does he think all the builders will come from?,@emtibAlucard,0,0,where does he think all the builders will come from
"I find it upsetting that the apostrophe is missing in the title phrase ""what's next?""The rest of this is essentially Trump Playbook 101.Egregious, rancid, execrable, offensive and quite predictable. 😮",@BanjoLuke1,1,0,i find it upsetting that the apostrophe is missing in the title phrase whats nextthe rest of this is essentially trump playbook egregious rancid execrable offensive and quite predictable face_with_open_mouth
"When Trump simultaneously runs for World Peacemaker, Best POTUS, Award-winning Businessman, Renaissance Man and a Grammy winner celebrity.",@tomymontana7268,0,0,when trump simultaneously runs for world peacemaker best potus awardwinning businessman renaissance man and a grammy winner celebrity
this is hilarious 😂 you have to hand it to him he is a provocateur with a great sense of humor 😂,@mrsnrub510,1,0,this is hilarious face_with_tears_of_joy you have to hand it to him he is a provocateur with a great sense of humor face_with_tears_of_joy
Question for peoples who voted Trump: Are you sane?,@superstoneanimation3891,3,0,question for peoples who voted trump are you sane
It only gets worse from here. Americans better get used to the taste of humble pie after the next four years. It will take decades to redeem themselves internationally after Trump.,@amisotheist,3,0,it only gets worse from here americans better get used to the taste of humble pie after the next four years it will take decades to redeem themselves internationally after trump
Che schifo. Che vergogna. Mai con Trump,@serenagallazzi4284,0,0,che schifo che vergogna mai con trump
New colonialism is worse than you think even most brutal dictators will be shocked if they sees this,@Allen2-z8x,1,0,new colonialism is worse than you think even most brutal dictators will be shocked if they sees this
I also want a trump balloon 😅,@mehmetsinanyldrm1015,1,0,i also want a trump balloon smiling_face_with_open_mouth_&_cold_sweat
"""Welcome to Aza NOW Arab Free""Disguesting",@Grunt423,0,0,welcome to aza now arab freedisguesting
😂😂😂 america has become a joke!!,@Dannyboy314,0,0,face_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joy america has become a joke
So uhh are wegonna just ignore the beards on those girls dancing at 0:15 😂😂,@toxicxstomper9356,1,4,so uhh are wegonna just ignore the beards on those girls dancing at  face_with_tears_of_joyface_with_tears_of_joy
0:15 Love to see how happy these bearded men in bikinis are dancing 😂,@GeovanniPenguin,3,1, love to see how happy these bearded men in bikinis are dancing face_with_tears_of_joy
This is not from Trump and is highly offensive please remove from your feed.,@karenp227,1,3,this is not from trump and is highly offensive please remove from your feed
Everybody knows the Guardian doesn't care about Palestinians. They smeared Jeremy Corbyn for their overlords.,@tinkerbell1120,1,0,everybody knows the guardian doesnt care about palestinians they smeared jeremy corbyn for their overlords
We have dogs running our country,@untiedshoelacesgaming,1,0,we have dogs running our country
"The original creators posted it as a joke, which makes the whole thing more ridiculous",@snickerdoodle3,0,1,the original creators posted it as a joke which makes the whole thing more ridiculous
Does he realize the women dancers have beards?,@lariabeth76,1,2,does he realize the women dancers have beards
Hope yhe folks in Deerb9rn approve,@Raigar88,0,0,hope yhe folks in deerbrn approve
"""He will deceive the very elect.""",@teresa8793,1,0,he will deceive the very elect
Weird way to ceasefire by buying the land between Israel and Palestinian Territories so he can act as a buffer.,@SuperEman500,0,0,weird way to ceasefire by buying the land between israel and palestinian territories so he can act as a buffer
So disappointed in president Trump for sharing this.,@marylynnbehrens5562,1,0,so disappointed in president trump for sharing this
But why does the song have to be such a bop?,@johnmossey,1,0,but why does the song have to be such a bop
Madness what is the world live in ?,@amiraelsayed7753,0,0,madness what is the world live in 
Sickening.. the guy has absolutely no class..,@TheCatNoOneWanted,3,0,sickening the guy has absolutely no class
Biff Tannen's Pleasure Paradise Casino & Hotel.,@ssdfgardiner1233,1,0,biff tannens pleasure paradise casino  hotel
Finalmente una soluzione finale al problema palestinese.,@robertocugno6569,0,0,finalmente una soluzione finale al problema palestinese
Harem girls on the beach had full beards.,@overcastfriday81,0,0,harem girls on the beach had full beards
How can a leader of a country be so disrespectful? What a shame,@user-ji5tq3ll3z,3,0,how can a leader of a country be so disrespectful what a shame
0:27 goated Saddam Hussein reference,@burgertown1643,1,0, goated saddam hussein reference
"He's the worst president in the history of this country. And today, he had the nerve to throw a temper tantrum in the Oval Office and say ZELENSKY was the one that made a mockery of the United States and the Oval Office. It's only been a month, guys.... I knew he was going to be even worse this time around... But I truly didn't predict him being worse than my wildest nightmares.",@Tcrror,8,0,hes the worst president in the history of this country and today he had the nerve to throw a temper tantrum in the oval office and say zelensky was the one that made a mockery of the united states and the oval office its only been a month guys i knew he was going to be even worse this time around but i truly didnt predict him being worse than my wildest nightmares
What an odd thing to say,@CHUNKY_OATMEAL,0,0,what an odd thing to say
"You got what your voted for. America is a very, very lost dream now. Europe has to stand",@ghxst1994,1,0,you got what your voted for america is a very very lost dream now europe has to stand
This new update gonna be lit 🔥,@Jonas-up3zh,0,0,this new update gonna be lit fire
"Don't worry, I don't think anyone thinks of you as ""cute.""",@MarieProvost77,0,0,dont worry i dont think anyone thinks of you as cute
Absolutely nauseating. What is wrong with this guy -- and the Americans who voted for him?,@cherylhaaker4802,2,0,absolutely nauseating what is wrong with this guy  and the americans who voted for him
Looks awesome! Much better looking than the last 30 years in Gaza,@JohnMicius,2,3,looks awesome much better looking than the last  years in gaza
Old people cannot be politicians!!!!!!!!!!!!!!!!!!!!!!,@Olga-yr1mb,3,0,old people cannot be politicians
no like actually why is he praising himself so much,@spritelover73,1,0,no like actually why is he praising himself so much
Like a disney movie super villian,@Ratchet0401,2,0,like a disney movie super villian
Is Ellon mask the real control man 🤔,@mona12261,0,0,is ellon mask the real control man thinking_face
The Trump statue made me lol,@Trevor_Bolin,0,0,the trump statue made me lol
"😂😂😂 a very stu pid president, U think Gazan fighters r like your slaves in the other countries. We learn U meaning of manhood n dignity is. Money can just buy material things. Our lands value is above all your silly dreams ✌️✊🇵🇸 From Gaza land of pride that you'll just find in Gaza n Palestine",@isamel-hallak6579,3,0,face_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joy a very stu pid president u think gazan fighters r like your slaves in the other countries we learn u meaning of manhood n dignity is money can just buy material things our lands value is above all your silly dreams victory_handraised_fist from gaza land of pride that youll just find in gaza n palestine
"Wow, that could be the new summer hit 2025, just need some more lyrics. I watch trump from germany, everyday a new hammer. Germany is also crazy. The indian holy scriptures say that 2025 iss the end of kali yuga, the next 20 years a time of chaos and wars.",@mariagold7226,0,0,wow that could be the new summer hit  just need some more lyrics i watch trump from germany everyday a new hammer germany is also crazy the indian holy scriptures say that  iss the end of kali yuga the next  years a time of chaos and wars
Did someone just wrote a story😂,@nezamarante6467,0,0,did someone just wrote a storyface_with_tears_of_joy
I can't believe they voted for this man!!,@anaygautam5356,0,0,i cant believe they voted for this man
Impossible Trump 🤡  Gaza is not a playground,@mohamedmusthafa3957,2,0,impossible trump clown_face  gaza is not a playground
What a jerk😮 how many people died here,@allanerrington3805,3,0,what a jerkface_with_open_mouth how many people died here
0:15 I guess even Trump himself didnt expect men with full grown beard dressed up as women dancing on the beach,@upthacks568,0,0, i guess even trump himself didnt expect men with full grown beard dressed up as women dancing on the beach
