text,author,likes,replyCount
"DON'T BE CUTE, DON'T BE WISE, JUST BE HUMAN PLEASE!!!!!",@tyramir3480,0,0
A cruel art & plan of illuminati,@AllEyes-OnMe.,3,0
It has the same chord progression as the agustus gloop song,@lib5864,1,0
😂😂😂😂😂😂😂,@PerezRivera65,1,0
This is great 👍  Trump Gaza we want to see. 😅,@floatinsun,4,5
"Funny how everyone in the comments judge this project as ""pure evil"" while what they probably consider a reasonable policy has led us to Hamas.",@jvs6338,2,2
"The problem of these people, and I mean those making videos like this, is that they have no soul. They are talking machines with numbers in their minds",@carolco,1,0
This guy is crazy 😮,@Guanasse,0,0
He cannot just take their home.......he is so self concerned.,@maedenton5436,1,0
trump have a sence of humor,@АртемийКалинин-ж2ф,0,0
This is a terroist ideas from trumb,@TaiebTraina,2,0
"How strange hilter also had artitecture plans too that nobody asked for to boost his speed induced ego.  🙄 but you know must just be him ""throwing his heart out"" right.",@sorinhocking876,0,0
Shame on USA,@AffordableBuildersinTorbay,0,0
"This video was a parody mocking Trump, his big ego and his bigly a'brain which Trump reposted as soon as he saw his bigly golden statue 😂",@zigs666,3,0
"We can all of course have different opinions about the Middle East conflict, especially about the Hamas attack or the Israeli attack, but this exceeds all moral boundaries of any humane person. It is disgusting, tasteless, degrading, wrong and repulsive! You just don't do that!",@Schmusbek21898,0,0
"Omg no doubt about it, he’s insane!!",@cwall3308,0,0
Elon can eat a lot.,@EverPaintP,0,0
AI-aided genocide,@MagiczzLilGoose,4,0
Don't let trump into the gaza,@nsr585,0,0
"Все мусульмани мира обьединяться и будет война, если вы захотите забрать Газу и Палестину себе",@Muslim_05_rab,0,0
Газзу и Палестину мы вам никогда не отдадим,@Muslim_05_rab,0,0
"Руки прочь от Газы, от Палестины",@Muslim_05_rab,0,0
"So this is possible, but accessible healthcare for the American working class is not?",@dianaaros,7,0
"Wait, I am so confused. Is this video from the White House? Or is this something a fan made and Trump posted?",@lostlakepictures7378,0,1
Feeling sorry that America is about to loose all its been working on for decades. Such a shame,@adrianchoinski3899,2,0
"A parte l'esaltazione, di trump. Le immagini che vediamo giornalmente, di distruzione e morte, nn sono bella cosa. Un paese ricostruito nel rispetto,delle usanze e tradizioni della sua popolazione, sarebbe bella cosa...... Ma evitando i grattacieli",@giampieroeva7335,1,0
なんか中毒性あって何度も見てしまう,@cdab5390,2,0
Ew what is that please,@Memo_Sym,0,0
This is really disturbing.,@Biltekin,3,0
"That video is funny, yall ones getting mad are taking it way too seriously. Its ai generated. Robot made it. We cant fully orchestrate how an ai will make a video or image or whatever. Find humor in it, jeez. Dancers with beards. Trump baloons. I think its funny and cool to watch.",@HoneydewHomelander,0,5
I have no words…. I genuinely am speechless… it feels like alternative reality of some kind of brainroted meme…,@Julia-wm3fc,2,0
Hold on this is real!!! Seriously,@shalyarkh2633,0,0
This would be for the mega rich and not the people,@LizVENVILLE-ti8mp,0,0
Tune!!!!,@stephenmaher225,0,0
It is not Earth we are living on,@almostmybedtime,1,0
3 war typingggg.......,@turkishenar1320,0,0
Ai generated. Americans dont feel this way.,@MichaelPetersThankgod4trump,1,0
“I don’t wanna be cute”-trump 2025,@raylagartos,0,0
Why is no one discussing the bearded ladies belly dancing... 🤔🤔🤔,@TheMlb1104,0,0
YUEE❤❤❤❤❤❤❤,@stanktail,0,1
Awesome,@Rio-jc6ju,2,0
"Arm yourselves, people.",@DillonHockett,2,0
Based,@bruh5912,0,0
Träume weiter Trump 😂Du kannst gaza nur in dein Träume haben 😂,@nawalzoghbi3916,1,0
"If you could have voted and didn't, don't complain now",@yuppers1,4,0
"Bet you wish you'd voted now, eh 😂😂😂",@yuppers1,2,0
Ts pmo,@NoMoneyGoat,1,0
I am having issues waking up. How long am i trapped in this dream?,@affebanane3039,7,0
This is the most insane political gesture i have ever seen a qualified politician do,@nordicohahah,1,0
Why does he have bearded women dancing,@YourGraceMyLady,2,2
"🎶 Donald's coming to set you freeBringing the light for all to seeNo more tunnels no more fearTrump Gaza is finally hereTrump Gaza shining brightGolden future, a brand new light Feast and dance the deal is doneTrump Gaza Number 1Trump Gaza shining brightGolden future, a brand new light Feast and dance the deal is doneTrump Gaza Number 1 🎶",@dankunle9818,4,0
RUDE BEYOND BELIEF,@LCG0946,0,0
Sick,@fuckbankers,1,0
Sort of obvious he's making fun of a bad joke.,@thehouseoflight,1,0
He should be ashamed about those moobs,@PaulFlint-po9jl,0,0
Kinda looks like President Snow.... hmmm,@dawnbeaver2313,0,0
Please tell me I am sleeping! This can't be true. I miss 2019...,@kjk8941,0,0
Ya gotta see it…before you can build it…,@MD-mm1zv,0,0
FDT,@zackde8795,0,0
"If It Will happen , Will move tô there",@felipebarbosa-jl6dq,0,0
What's wrong with him????,@marielinerudt3925,1,0
"What a shame, below zero...",@coccinelle23,0,0
I LIKE this videoDems are mad)),@bolshoikush9093,0,0
Trump is my gf,@Deviant_Hank,0,1
😂😂😂😂😂 dreamer team,@gerobakbangooddy,0,0
"Trump sending US weapons to Israel takes on a whole new dimension when these plans are revealed. It is the clearing of Palestinians as if they are no more than rubble from all the 2,000 pound bombs already dropped, to make way for his resort enterprise.",@g.b.1375,3,1
"Is this REAL? As in, officially released by Trump???",@Daktylotrochej,0,1
*President Trump,@bidencheated7758,1,0
"Wuzhou, Guangxi, is poised to be a major Belt and Road success for China, driven by a growing population, precision manufacturing, AI robotics, and semiconductor technology. With high speed connections to Guangzhou, Hong Kong, and Shenzhen extending into western China and Vietnam, Wuzhou is strategically positioned to become a key hub for innovation and trade.",@musiceol7,0,0
insuperable  !!!!,@massimomezzetti1364,0,0
This is the American dream 🗣️🗣️🗣️,@Fumo1,0,0
Is that really the president of the United States??,@Newg2612.,0,2
Trump gaza number 1 !😂,@BenW-z3g,2,1
Gross. Truly a terrible day to have eyes,@hahaha00000,1,0
The red light is burning... America is truly on the brink of the abyss,@Oceonheart,8,3
"I would consider this a Trump thing, however at 0:15, I'm guessing that's not from or for  his folks.",@bf6159,0,1
The Founding Fathers would be so proud of what he's doing!,@aureliusfeynman485,0,0
50k dead...really?? Shame on you,@SuatÖzcelik-l6l,1,0
2 serial killers,@NomeCognome-p2o,1,0
Orange donnie -iq,@alkazeicer9616,0,0
I'd go there,@mooserx4,0,0
You just crazy 🤪 but you can dream 😂,@meromero6871,0,0
Seriously??? What a joke.,@andrewcoongoro,1,0
He's so far gone,@Moahawkzolo,2,0
🤦🤦🤦🤦🤦🤦😱😱😱😱😱,@racjonalistpl8816,0,0
"""And I will run these streets, like i run my casinosMore police and less Latinos""😂😂😂-EpicRapBattlesOfHistory",@SoManySideQuests,0,0
I enjoy the melody,@toadfox2216,0,0
Real nu one-liked I'm student's trump of iran-,@issaebii,0,0
"What. Is. This?This isn't going to make anyone feel better of what Gaza had been through. So many children have lost their families, alive or dead, and this is going to recover our pain?",@gtaipan7422,12,1
Never forget who voted for this,@Alexander-wq7qo,4,2
Trump's dream that will never come true. Free Palestine,@khandkhan4776,1,0
Trump gayza,@naturalimojah3333,1,0
So terrible 😓... and yet funny to see the dancing bearded ladies . Didn't know trump had these dreams🤪,@JaneAggerholm,1,1
His last attempt at this was Atlantic City. We all saw how that turned out.,@kevinthomson6324,0,0
He's a genious,@sam2pattaya,3,0
"This will stay dreamYou never ever can take their land, if you want it you have to fight for it",@ahmedmousa7935,1,0
This is sick beyond what words could ever describe 😢,@faithrose4440,0,0
Disturbing.,@creativekoala9721,1,0
Truly obscene.,@richardgertson9924,3,0
This song is so awesome,@furryferret8514,0,0
Biffs paradise😂,@GrerovAmbrozoyuz-f9t7w,0,0
I'm besotted with this piece of music. Really.,@FabyKennedy,1,0
Who made that for him,@mandakinimachiraju,2,2
This is legitimately one of the most insane things I’ve ever seen shares by an official account,@hansolo9585,16,0
I miss when the onion was stupider than real politics,@Imjustkendall,2,0
"""I dont wanna be cute""",@andrewkoestl,0,0
Megalopolis Copolla,@marijkegravemaker2561,1,0
Disgusting!! Ego maniac,@shellapeck3647,1,0
"..yeah, it’s colloquially referred to as the “shoe-in” or “foot in the door” tactic - sounds like you never learned past psych. 101 there, bud.",@bucketstuck7137,1,0
Crazy 🤣,@Mavix90,0,0
Shameful,@lifeisactuallyveryboring.7771,2,0
"got to admit, It's a catchy tune",@MrUranium238,5,0
Absolute madness,@Manofthehour2050,2,0
This is surreal.,@lorenzoluisalbano3695,2,0
Typical Donald Trump behaviour. Why is anybody surprised?,@notprovided1131,0,0
Racist Trump envisions a Palestinian free Gaza.,@paulhart3812,2,0
Hail the New World Order!!!👏👏👏,@D.M33,1,0
people are crying but the idea of rebuilding gaza into a paradise is lovely. stop being so hysterical over an AI video people.,@EpicBunty,0,0
Orwell would be rolling over in his grace right now,@imthatjerry8973,0,0
"sorry gaza, i don't think we're going to help.",@CodyPease,1,0
What a 🤡,@WaveHunter-n7q,6,0
"finally, a glimpse of sanity",@gregh7457,0,0
AI is dangerous,@ThePekka316,1,0
Tiny hat mafia,@ryuturcios,0,0
In your dreams,@asurvivor3846,0,0
Can any one defend this?? Repulsive,@TheCrispOne2025,3,0
"I am Arab, this is so painful I am laughing so hard 😂😂😂",@SilentBlindDeaf,4,2
this is insanity beyond words,@alkazeicer9616,1,0
Imagine an Arab leader posting such thing about turning USA into their dream resort place 😂 like trump should stay in the USA and fix America first before heading over to the middle east.,@Sunflowersarepretty,1,0
"Remember  shadrach,meshach and abednego",@Thewalkinchrist,1,0
"Bankrut zrobi coś w strefie? Jak można coś zrobić, kiedy UE i Chiny poproszą o zwrot długów?",@anmi4454,1,0
The funniest thing is an anti Trump company in LA ... and it went viral not in the way they meant..😂😂😂 fail,@numbersdonlie,0,0
THE AI MUSIC💔,@stem5ylr,0,0
Kali yuga,@Mrwhodidnthavname,0,0
Get er done big Don,@AA-pq2ls,0,0
Sick minds,@khidrie1,0,0
Babylon is fallen.,@chrischung2365,0,0
Disappointed Disturbing and Disgusting!!!!!!!!!?!,@teresasimmons4248,0,0
TRUMP GAZA IS FINALLY HERE!,@aus_huayra500_3,0,0
